Misc,Building,Longitude,Latitude
Central,Barrows,-122.2580314,37.8700626
Central,Dwinelle,-122.2605518,37.8707002
Central,Life Sciences Addition,-122.2632527,37.8713948
Central,Moffitt,-122.260748,37.872574
Central,VLSB,-122.2621389,37.8714868
Central,Wheeler,-122.2591493,37.8713074
North Campus,Birge,-122.2571898,37.8722322
North Campus,Cory,-122.2573242,37.8750364
North Campus,Davis,-122.25812,37.8746326
North Campus,Donner Laboratory,-122.256305,37.8744177
North Campus,Etcheverry,-122.2592805,37.8756626
North Campus,Evans,-122.2578536,37.8736847
North Campus,Goldman School of Public Policy,-122.2578583,37.8757268
North Campus,Hildebrand,-122.2557257,37.8725358
North Campus,Hearst Mining,-122.2572355,37.8744068
South Campus,Haas Faculty Wing,-122.2537809,37.871558
South Campus,Hearst Field Annex,-122.2581587,37.8694693
South Campus,Hearst Memorial Gymnasium,-122.256978,37.8695377
South Campus,Kroeber,-122.2551518,37.869853
South Campus,Wurster,-122.2548935,37.8707352
West Campus,Barker,-122.2654404,37.8739795
West Campus,Giannini,-122.2622986,37.8735349
West Campus,Genetics & Plant Biology,-122.2647492,37.8734357
West Campus,Haviland,-122.2610484,37.8737118
West Campus,Li Ka Shing,-122.2652939,37.8729739
West Campus,Morgan,-122.2642654,37.8733128
West Campus,Mulford,-122.2644811,37.8726096
North Campus,Latimer,-122.255991,37.873106
North Campus,LeConte,-122.257526,37.872663
North Campus,Lewis,-122.255193,37.873066
North Campus,McCone,-122.259655,37.874176
North Campus,North Gate,-122.259668,37.875000
North Campus,Pimentel,-122.256018,37.873412
North Campus,Stanley,-122.256127,37.873978
North Campus,Tan,-122.256392,37.873095
North Campus,Jacob,-122.258802,37.876022
North Campus,Sutardja,-122.258292,37.874834
