Location,Classroom #,Capacity,Categories,Feature,Restriction
Birge,50,159,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Podium Microphone, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft Demonstration Bench Window-None",
Cory,237,24,Seminar Room,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display,AV-Connection-Aux,AV-Connection-VGA, AV-DVD PlayerAV-Screen-Manual Projector, AV-VHS player,Board-White Only, Seating-Movable,Window",
Cory,241,54,Classroom,"ADA-Instructor Accessible ADA-Student Accessible AV-Assistive Listening Device AV Computer Data Display AV-Connection-AuxAV-Connection-VGA, AV-Connection-XLR (2) AV-Course Capture AV-DVD Player AV-Document Camera AV-Microphones (2) AV-Screen-Manual Projector AV-VHS player Board-Front 95plus sq ft Board-White Only Seating-Movable Window",
Cory,247,58,HD Classroom,"ADA-Instructor Accessible ADA-Student Accessible AV-Assistive Listening Device AV Computer Data Display AV-Connection-AuxAV-Connection-VGA, AV-Connection-XLR (2) AV-Course Capture AV-DVD Player AV-Document Camera AV-Microphones (2) AV-Screen-Manual Projector AV-VHS player Board-Front 95plus sq ft Board-White Only Seating-Movable Window",
Cory,277,141,Lecture Hall,ADA-Instructor Accessible ADA-Student Accessible AV-Assistive Listening Device AV-Computer Data Display AV-Connection-Aux AV-Connection-VGA AV-Connection-XLR (2) AV-Course Capture AV-DVD Player AV-Document Camera AV-Microphones (2) AV-Screen-Powered AV-VHS player Board-Chalk Only Board-Front 150plus sq ft Board-Front 95plus sq ft Window,
Cory,285,27,Classroom,ADA-Instructor Accessible ADA-Student Accessible AV-Computer Data Display AV-Connection-Aux AV-Connection-VGA AV-DVD Player AV-Document Camera  AV-Screen-Powered AV-VHS player Board-white Only  sq ft Board-Front 95plus sq ft Window,
Cory,289,41,Classroom,ADA-Instructor Accessible ADA-Student Accessible AV-Assistive Listening Device AV-Computer Data Display AV-Connection-Aux AV-Connection-VGA AV-Connection-XLR (2) AV-Course Capture AV-DVD Player AV-Document Camera AV-Microphones (2) AV-Screen-Powered AV-VHS player Board-Chalk Only Board-Front 150plus sq ft Board-Front 95plus sq ft Window,
Davis,534,65,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Document Camera, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window-None",
Donner Laboratory,155,87,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Course Capture, AV-DVD Player, AV-Microphones, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Window-None",
Etcheverry,3105,37,HD Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Tables/Chairs, Seating-Tables/Chairs Fixed, Window",
Etcheverry,3106,75,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Movable, Window",
Etcheverry,3107,45,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Tables/Chairs, Seating-Tables/Chairs Fixed, Window",
Etcheverry,3108,75,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Movable, Window",
Etcheverry,3109,45,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Tables/Chairs, Seating-Tables/Chairs Fixed, Window",
Etcheverry,3111,45,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Tables/Chairs, Seating-Tables/Chairs Fixed, Window",
Etcheverry,3113,45,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Tables/Chairs, Seating-Tables/Chairs Fixed, Window",
Etcheverry,3119,35,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Document Camera, AV-Screen-Manual Projector, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Window",
Evans,10,237,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Window-None",
