building,number,capacity,misc,facilities
Haas Faculty Wing,295,299,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Podium Microphone, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Window-None"
Hearst Field Annex,A1,222,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-White Only, Window-None"
Hearst Field Annex,B1,36,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Window"
Hearst Field Annex,B5,46,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Seating-Tables/Chairs, Seating-Tables/Chairs Movable, Window"
Hearst Memorial Gymnasium,242,36,Classroom,"AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Window"
Hearst Memorial Gymnasium,245,28,Classroom,"AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-White Only, Seating-Movable, Window"
Kroeber,115,25,Seminar Room,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-VGA, AV-DVD Player, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Window"
Kroeber,155,61,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Window"
Kroeber,160,138,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Stage, Window-None"
Kroeber,238,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-Chalk Only, Seating-Movable, Window"
Wurster,101,48,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-White Only, Seating-Movable, Window-None"
Wurster,102,61,Lecture Hall,"ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Microphones, AV-Screen-Manual Projector, AV-VHS player, Board-White Only, Window-None"
